,Id,City,State
415,415,Guaraciaba,Santa Catarina
416,416,Guaraciaba,Santa Catarina
417,417,4206405,Santa Catarina
418,418,104,Santa Catarina
419,419,Guaramirim,Santa Catarina
420,420,Guaramirim,Santa Catarina
421,421,4206504,Santa Catarina
422,422,105,Santa Catarina
423,423,Guarujá do Sul,Santa Catarina
424,424,Guarujá do Sul,Santa Catarina
425,425,4206603,Santa Catarina
426,426,106,Santa Catarina
427,427,Guatambu,Santa Catarina
428,428,Guatambu,Santa Catarina
429,429,4206652,Santa Catarina
430,430,107,Santa Catarina
431,431,Herval d'Oeste,Santa Catarina
432,432,Herval d'Oeste,Santa Catarina
433,433,4206702,Santa Catarina
434,434,108,Santa Catarina
435,435,Ibiam,Santa Catarina
436,436,Ibiam,Santa Catarina
437,437,4206751,Santa Catarina
438,438,109,Santa Catarina
439,439,Ibicaré,Santa Catarina
440,440,Ibicaré,Santa Catarina
441,441,4206801,Santa Catarina
442,442,110,Santa Catarina
443,443,Ibirama,Santa Catarina
444,444,Ibirama,Santa Catarina
445,445,4206900,Santa Catarina
446,446,111,Santa Catarina
447,447,Içara,Santa Catarina
448,448,Içara,Santa Catarina
449,449,4207007,Santa Catarina
450,450,112,Santa Catarina
451,451,Ilhota,Santa Catarina
452,452,Ilhota,Santa Catarina
453,453,4207106,Santa Catarina
454,454,113,Santa Catarina
455,455,Imaruí,Santa Catarina
456,456,Imaruí,Santa Catarina
457,457,4207205,Santa Catarina
458,458,114,Santa Catarina
459,459,Imbituba,Santa Catarina
460,460,Imbituba,Santa Catarina
461,461,4207304,Santa Catarina
462,462,115,Santa Catarina
463,463,Imbuia,Santa Catarina
464,464,Imbuia,Santa Catarina
465,465,4207403,Santa Catarina
466,466,116,Santa Catarina
467,467,Indaial,Santa Catarina
468,468,Indaial,Santa Catarina
469,469,4207502,Santa Catarina
470,470,117,Santa Catarina
471,471,Iomerê,Santa Catarina
472,472,Iomerê,Santa Catarina
473,473,4207577,Santa Catarina
474,474,118,Santa Catarina
475,475,Ipira,Santa Catarina
476,476,Ipira,Santa Catarina
477,477,4207601,Santa Catarina
478,478,119,Santa Catarina
479,479,Iporã do Oeste,Santa Catarina
480,480,Iporã do Oeste,Santa Catarina
481,481,4207650,Santa Catarina
482,482,120,Santa Catarina
483,483,Ipuaçu,Santa Catarina
484,484,Ipuaçu,Santa Catarina
485,485,4207684,Santa Catarina
486,486,121,Santa Catarina
487,487,Ipumirim,Santa Catarina
488,488,Ipumirim,Santa Catarina
489,489,4207700,Santa Catarina
490,490,122,Santa Catarina
491,491,Iraceminha,Santa Catarina
492,492,Iraceminha,Santa Catarina
493,493,4207759,Santa Catarina
494,494,123,Santa Catarina
495,495,Irani,Santa Catarina
496,496,Irani,Santa Catarina
497,497,4207809,Santa Catarina
498,498,124,Santa Catarina
499,499,Irati,Santa Catarina
500,500,Irati,Santa Catarina
501,501,4207858,Santa Catarina
502,502,125,Santa Catarina
503,503,Irineópolis,Santa Catarina
504,504,Irineópolis,Santa Catarina
505,505,4207908,Santa Catarina
506,506,126,Santa Catarina
507,507,Itá,Santa Catarina
508,508,Itá,Santa Catarina
509,509,4208005,Santa Catarina
510,510,127,Santa Catarina
511,511,Itaiópolis,Santa Catarina
512,512,Itaiópolis,Santa Catarina
513,513,4208104,Santa Catarina
514,514,128,Santa Catarina
515,515,Itajaí,Santa Catarina
516,516,Itajaí,Santa Catarina
517,517,4208203,Santa Catarina
518,518,129,Santa Catarina
519,519,Itapema,Santa Catarina
520,520,Itapema,Santa Catarina
521,521,4208302,Santa Catarina
522,522,130,Santa Catarina
523,523,Itapiranga,Santa Catarina
524,524,Itapiranga,Santa Catarina
525,525,4208401,Santa Catarina
526,526,131,Santa Catarina
527,527,Itapoá,Santa Catarina
528,528,Itapoá,Santa Catarina
529,529,4208450,Santa Catarina
530,530,132,Santa Catarina
531,531,Ituporanga,Santa Catarina
532,532,Ituporanga,Santa Catarina
533,533,4208500,Santa Catarina
534,534,133,Santa Catarina
535,535,Jaborá,Santa Catarina
536,536,Jaborá,Santa Catarina
537,537,4208609,Santa Catarina
538,538,134,Santa Catarina
539,539,Jacinto Machado,Santa Catarina
540,540,Jacinto Machado,Santa Catarina
541,541,4208708,Santa Catarina
542,542,135,Santa Catarina
543,543,Jaguaruna,Santa Catarina
544,544,Jaguaruna,Santa Catarina
545,545,4208807,Santa Catarina
546,546,136,Santa Catarina
547,547,Jaraguá do Sul,Santa Catarina
548,548,Jaraguá do Sul,Santa Catarina
549,549,4208906,Santa Catarina
550,550,137,Santa Catarina
551,551,Jardinópolis,Santa Catarina
552,552,Jardinópolis,Santa Catarina
553,553,4208955,Santa Catarina
554,554,138,Santa Catarina
555,555,Joaçaba,Santa Catarina
556,556,Joaçaba,Santa Catarina
557,557,4209003,Santa Catarina
558,558,139,Santa Catarina
559,559,Joinville,Santa Catarina
560,560,Joinville,Santa Catarina
